series id ,series.title,description,site.channel,primary.channel.sub.channel, average monthly total users (June - Sep 17) 
94,Catfish: The TV Show,Catfish:  The TV Show brings together couples who've interacted solely through LCD screens.  Over the course of months they've supposedly fallen in love -- but what will happen when they meet in real life for the first time?,Reality and Game Shows~Real Life Drama|Teen,Reality and Game Shows~Real Life Drama,3663904
95,Elementary,ELEMENTARY stars Jonny Lee Miller as detective Sherlock Holmes and Lucy Liu as Dr. Joan Watson in a modern-day drama about a crime-solving duo that cracks the NYPDÕs most impossible cases.,Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,2663664
96,ABC 20/20,"20/20 brings you hard-hitting investigative reports, newsmaker interviews and compelling human interest and feature stories.",News and Information,News and Information,822425
97,America's Next Top Model,"Young women of various backgrounds, shapes and sizes compete to prove that they can make it in the high-stress, high-stakes world of modeling. With mentoring by supermodel Tyra Banks and exposure to prolific fashion-industry gurus, the finalists compete in an accelerated modeling boot camp. Participants learn to master complicated catwalks, fashion photo shoots and perfect publicity skills, all under 24-hour-a-day surveillance of the cameras that chronicle every move.",Reality and Game Shows|Teen,Reality and Game Shows,9211330
98,Fresh off the Boat,"ItÕs the '90s and 12 year old, hip-hop loving Eddie just moved to suburban Orlando from DCÕs Chinatown with his parents. ItÕs culture shock for his immigrant family in this comedy about pursuing the American Dream.",Comedy~Sitcoms|Family,Comedy~Sitcoms,2370009
99,Archer,"Archer is an FXX original animated comedy series from Adam Reed that stars H. Jon Benjamin, Jessica Walter, Aisha Tyler, Judy Greer, Chris Parnell, Amber Nash and Lucky Yates.",Animation and Cartoons~Primetime Animation|Action and Adventure~Espionage|Comedy,Animation and Cartoons~Primetime Animation,6730532
100,The Thundermans,"The Thundermans are just like any other American family, but they're superheroes! Watch this super family battle some serious sibling rivalry and eventually work together to use their extraordinary powers to create an ordinary life!",Kids|Teen,Kids,5354111
101,You're the Worst,"YouÕre the Worst is an FX original, critically-acclaimed comedy series from Stephen Falk that takes a modern look at love and happiness told through the eyes of two people who havenÕt been very successful with either. ItÕs the story of Gretchen and Jimmy, fear, heartbreak, romance, sex, food, Sunday Funday, and friendship in Los Angeles only to find that sometimes the worst people make the best partners.",Comedy,Comedy,6550173
102,Fear the Walking Dead,"Fear the Walking Dead AMCÕs new companion series to The Walking Dead, goes back to the beginning of the zombie apocalypse in Los Angeles, to a time when life as everyone knew it was upended for reasons unknown.",Drama|Horror and Suspense~Zombies,Drama,7028509
103,Drake & Josh,"While Drake is laid back and goes with the flow, Josh lives strictly by the rules! But when Josh's dad and Drake's mom get married, these two totally opposite boys become stepbrothers!",Kids|Comedy,Kids,5679855
104,Somewhere Between,"A superstar news producer and loving mom knows her 8-year-old daughter is going to be murdered. She doesnÕt know who the murderer is, or why sheÕs killed, but she knows exactly when it will happen, where, and how. Despite this, all of her attempts to keep her daughter safe fail, and SerenaÕs fixed, unmovable, terrifying fate keeps her directly in the path of her killer.",Drama,Drama,7919241
105,Teenage Mutant Ninja Turtles,"Master Splinter allows the Turtles to visit the surface for the first time, where they'll learn the importance of working as a team, uncover the mystery of their existence, and face fearsome enemies such as the Kraang and the ruthless Shredder.",Kids|Animation and Cartoons|Teen,Kids,7600113
106,Pretty Little Liars,"Four estranged best friends are reunited one year after the queen bee of the group, Alison, goes missing. When they begin to receive disturbing messages from someone named ÒAÓ, how far will they go to bury their secrets?",Drama|Teen,Drama,8119441
107,Smallville,"After a meteor shower bursts from the heavens, raining destruction on the unsuspecting citizens of Smallville, years pass, and the healing process leaves the town's inhabitants with scars and secrets. From the ashes of tragedy, a popular yet awkward teen attempts to decipher the meaning of his life and his clouded past.",Drama~Romance|Science Fiction|Action and Adventure|Teen|Family,Drama~Romance,1940104
108,House Hunters,"The pursuit of the perfect home involves big decisions. This series follows real buyers as they establish a budget, tour homes for sale, weigh pros and cons, and finally make an offer.",Lifestyle~Home and Garden|Family,Lifestyle~Home and Garden,8275087
109,Star,Three talented singers navigate the music industry on their road to success.,Drama|Music,Drama,8255284
110,We Bare Bears,"We Bare Bears is a comedy about three bear siblings named Grizzly, Panda and Ice Bear. Each episode follows their awkward attempts at integrating with the human world in the San Francisco Bay Area, whether they're looking for food, trying to make human friends or scheming to become Internet famous. Whatever the situation, it's obvious that being a bear in the civilized, modern world is tough but at least they have each other!",Animation and Cartoons|Kids,Animation and Cartoons,7966147
111,Late Night With Seth Meyers,"Beloved ""Saturday Night Live"" personality - and the longest serving ""anchor"" on the show's wildly popular ""Weekend Update"" - Seth Meyers takes over as host of NBC's ""Late Night,"" home to A-list celebrity guests, memorable comedy and the best in musical talent.",Comedy~Late Night Comedy,Comedy~Late Night Comedy,1792884
112,What Would You Do?,What Would You Do?  Hidden cameras capture how people react when they're thrust in real-life ethical scenarios that call out for action.  Will they step in or mind their own business?,News and Information|Reality and Game Shows~Real Life Drama|Family,News and Information,8404280
113,Top of the Lake,This powerful and haunting story from Oscar winning writer/director Jane Campion follows the story of a detective (Elisabeth Moss) who investigates the disappearance of a 12-year-old pregnant daughter of a local drug lord.,Drama|International~British,Drama,9739955
114,MasterChef Junior,Kids between the ages of 8 and 13 compete in a series of challenges and cook-offs.,Reality and Game Shows~Competition|Teen|Family,Reality and Game Shows~Competition,5472429
115,Jersey Shore,"Young adults move into a summer share to indulge in everything Seaside Heights, New Jersey has to offer. Jersey Shore uncovers sometimes surprising, often hilarious and usually over-the-top personalities.",Reality and Game Shows~Real Life Drama|Teen,Reality and Game Shows~Real Life Drama,5205674
116,Sesame Street,"The beloved show ""Sesame Street"" combines education and entertainment to make a meaningful difference in children's lives. Besides teaching letters and numbers, ""Sesame Street"" fosters imagination, builds social skills, and models respect for people's differences, whether they're based in race, gender, ethnicity, googly eyes, or neon fur.",Kids,Kids,5787407
117,The Boondocks,"Brothers Huey and Riley Freeman move from the South Side of Chicago to live with their grandfather in the predominantly white suburb of Woodcrest. A clash of lifestyles, class and culture follows.",Animation and Cartoons~Primetime Animation,Animation and Cartoons~Primetime Animation,6054327
118,The Wall,"From Executive Producer and NBA superstar LeBron James comes ÒThe Wall,"" the fastest and simplest game with more than $12 million on the line every night - and up to $3 million on a single heart-stopping drop. At four stories high, the wall was built for one purpose - to change people's lives. With tremendous cash prizes waiting at the bottom, this game can change lives in an instant. Hosted by Chris Hardwick.",Reality and Game Shows~Competition|Family,Reality and Game Shows~Competition,3040236
119,Cutthroat Kitchen,"Just how far is a chef willing to go win a cooking competition? Cutthroat Kitchen hands four chefs $25,000 and the opportunity to spend that money on helping themselves or sabotaging their competitors.  Alton Brown hosts.",Food~Cooking Competitions|Family,Food~Cooking Competitions,193039
120,Little Big Shots,"Host Steve Harvey (""The Original Kings of Comedy,"" ""Family Feud"") will chat and even go toe-to-toe with these child prodigies, eliciting plenty of hilarious and heartwarming moments. From pint-sized break-dancers and piano virtuosos to kids who have surprising talents or just make us laugh, these gifted performers will slay us with their cuteness and wow us with their accomplishments, proving once and for all that talent is born, not made.",Reality and Game Shows|Family,Reality and Game Shows,473439
